date,bike_usage
2018-08-20,8616
2018-08-21,8979
2018-08-22,6598
2018-08-23,9048
2018-08-24,8536
2018-08-25,7429
2018-08-26,7009
2018-08-27,8182
2018-08-28,8311
2018-08-29,7939
2018-08-30,8698
2018-08-31,8733
2018-09-01,6762
2018-09-02,7729
2018-09-03,6862
2018-09-04,9385
2018-09-05,9603
2018-09-06,7549
2018-09-07,9720
2018-09-08,7559
2018-09-09,6534
2018-09-10,5962
2018-09-11,8349
2018-09-12,7400
2018-09-13,9208
2018-09-14,9975
2018-09-15,8187
2018-09-16,7972
2018-09-17,9377
2018-09-18,5996
2018-09-19,8466
2018-09-20,9193
2018-09-21,9507
2018-09-22,7889
2018-09-23,6665
2018-09-24,7763
2018-09-25,4064
2018-09-26,8727
2018-09-27,9096
2018-09-28,5674
2018-09-29,7694
2018-09-30,7315
2018-10-01,6685
2018-10-02,4894
2018-10-03,7937
2018-10-04,8830
2018-10-05,8682
2018-10-06,6729
2018-10-07,5652
2018-10-08,5512
2018-10-09,8874
2018-10-10,9474
2018-10-11,5725
2018-10-12,7248
2018-10-13,4024
2018-10-14,5794
2018-10-15,7163
2018-10-16,7925
2018-10-17,7688
2018-10-18,6495
2018-10-19,7580
2018-10-20,6916
2018-10-21,4119
2018-10-22,6436
2018-10-23,5833
2018-10-24,6340
2018-10-25,6739
2018-10-26,6473
2018-10-27,760
2018-10-28,4126
2018-10-29,5164
2018-10-30,6838
2018-10-31,7444
2018-11-01,7099
2018-11-02,6288
2018-11-03,3250
2018-11-04,4789
2018-11-05,5076
2018-11-06,4506
2018-11-07,7717
2018-11-08,7071
2018-11-09,5340
2018-11-10,3117
2018-11-11,3216
2018-11-12,5209
2018-11-13,3316
2018-11-14,4841
2018-11-15,4502
2018-11-16,2880
2018-11-17,3557
2018-11-18,3001
2018-11-19,3442
2018-11-20,2281
2018-11-21,3246
2018-11-22,555
2018-11-23,1259
2018-11-24,1937
2018-11-25,1629
2018-11-26,3286
2018-11-27,4496
2018-11-28,4994
